Id, Time, Type, Position, Amount, Price, Stop Loss, Take Profit, Profit, Balance
1, 08/01/2007 20:00, Open Long, 1, 1000, 92.564, 92.204, 94.014, 0.00, 500.00
2, 11/01/2007 08:00, Take Profit, 1, 1000, 94.014, 0.000, 0.000, 13.07, 513.07
3, 12/01/2007 06:00, Open Short, 2, -1000, 94.061, 94.421, 92.611, 0.00, 513.07
4, 14/01/2007 22:00, Stop Loss, 2, -1000, 94.421, 0.000, 0.000, -3.31, 509.76
5, 15/01/2007 16:00, Open Short, 3, -1000, 94.370, 94.730, 92.920, 0.00, 509.76
6, 17/01/2007 10:00, Stop Loss, 3, -1000, 94.730, 0.000, 0.000, -3.29, 506.46
7, 23/01/2007 09:00, Open Short, 4, -1000, 95.887, 96.247, 94.437, 0.00, 506.46
8, 23/01/2007 12:00, Stop Loss, 4, -1000, 96.247, 0.000, 0.000, -3.26, 503.20
9, 30/01/2007 04:00, Open Long, 5, 1000, 94.069, 93.709, 95.519, 0.00, 503.20
10, 30/01/2007 15:00, Stop Loss, 5, 1000, 93.709, 0.000, 0.000, -3.26, 499.95
11, 31/01/2007 16:00, Open Long, 6, 1000, 93.620, 93.260, 95.070, 0.00, 499.95
12, 01/02/2007 06:00, Stop Loss, 6, 1000, 93.260, 0.000, 0.000, -3.28, 496.67
13, 05/02/2007 03:00, Open Long, 7, 1000, 93.413, 93.053, 94.863, 0.00, 496.67
14, 06/02/2007 00:00, Stop Loss, 7, 1000, 93.053, 0.000, 0.000, -3.28, 493.39
15, 09/02/2007 17:00, Open Long, 8, 1000, 94.381, 94.021, 95.831, 0.00, 493.39
16, 12/02/2007 13:00, Stop Loss, 8, 1000, 94.021, 0.000, 0.000, -3.31, 490.08
17, 13/02/2007 09:00, Open Long, 9, 1000, 93.989, 93.629, 95.439, 0.00, 490.08
18, 15/02/2007 16:00, Stop Loss, 9, 1000, 93.629, 0.000, 0.000, -3.29, 486.79
19, 16/02/2007 15:00, Open Long, 10, 1000, 93.634, 93.274, 95.084, 0.00, 486.79
20, 21/02/2007 08:00, Take Profit, 10, 1000, 95.084, 0.000, 0.000, 13.03, 499.82
21, 13/03/2007 16:00, Open Long, 11, 1000, 92.035, 91.675, 93.485, 0.00, 499.82
22, 13/03/2007 16:00, Stop Loss, 11, 1000, 91.675, 0.000, 0.000, -3.26, 496.56
23, 16/03/2007 01:00, Open Short, 12, -1000, 92.429, 92.789, 90.979, 0.00, 496.56
24, 16/03/2007 09:00, Stop Loss, 12, -1000, 92.789, 0.000, 0.000, -3.26, 493.30
25, 22/03/2007 23:00, Open Short, 13, -1000, 95.175, 95.535, 93.725, 0.00, 493.30
26, 26/03/2007 12:00, Stop Loss, 13, -1000, 95.535, 0.000, 0.000, -3.33, 489.97
27, 29/03/2007 01:00, Open Long, 14, 1000, 94.126, 93.766, 95.576, 0.00, 489.97
28, 30/03/2007 13:00, Take Profit, 14, 1000, 95.576, 0.000, 0.000, 13.10, 503.08
29, 18/04/2007 09:00, Open Short, 15, -1000, 99.270, 99.630, 97.820, 0.00, 503.08
30, 19/04/2007 06:00, Take Profit, 15, -1000, 97.820, 0.000, 0.000, 13.10, 516.18
31, 25/04/2007 02:00, Open Short, 16, -1000, 98.250, 98.610, 96.800, 0.00, 516.18
32, 25/04/2007 06:00, Stop Loss, 16, -1000, 98.610, 0.000, 0.000, -3.26, 512.92
33, 01/05/2007 01:00, Open Long, 17, 1000, 99.120, 98.760, 100.570, 0.00, 512.92
34, 02/05/2007 01:00, Stop Loss, 17, 1000, 98.760, 0.000, 0.000, -3.28, 509.65
35, 08/05/2007 20:00, Open Short, 18, -1000, 99.350, 99.710, 97.900, 0.00, 509.65
36, 10/05/2007 01:00, Stop Loss, 18, -1000, 99.710, 0.000, 0.000, -3.29, 506.35
37, 17/05/2007 18:00, Open Short, 19, -1000, 99.740, 100.100, 98.290, 0.00, 506.35
38, 23/05/2007 08:00, Stop Loss, 19, -1000, 100.100, 0.000, 0.000, -3.37, 502.99
39, 28/05/2007 17:00, Open Short, 20, -1000, 99.720, 100.080, 98.270, 0.00, 502.99
40, 30/05/2007 19:00, Stop Loss, 20, -1000, 100.080, 0.000, 0.000, -3.29, 499.69
